DateKey,FullDate,Year,Month,DayOfWeek
20010101,2001-01-01,2001,1,Monday
20010102,2001-01-02,2001,1,Tuesday
20010103,2001-01-03,2001,1,Wednesday
20010104,2001-01-04,2001,1,Thursday
20010105,2001-01-05,2001,1,Friday
20010106,2001-01-06,2001,1,Saturday
20010107,2001-01-07,2001,1,Sunday
20010108,2001-01-08,2001,1,Monday
20010109,2001-01-09,2001,1,Tuesday
20010110,2001-01-10,2001,1,Wednesday
20010111,2001-01-11,2001,1,Thursday
20010112,2001-01-12,2001,1,Friday
20010113,2001-01-13,2001,1,Saturday
20010114,2001-01-14,2001,1,Sunday
20010115,2001-01-15,2001,1,Monday
20010116,2001-01-16,2001,1,Tuesday
20010117,2001-01-17,2001,1,Wednesday
20010118,2001-01-18,2001,1,Thursday
20010119,2001-01-19,2001,1,Friday
20010120,2001-01-20,2001,1,Saturday
20010121,2001-01-21,2001,1,Sunday
20010122,2001-01-22,2001,1,Monday
20010123,2001-01-23,2001,1,Tuesday
20010124,2001-01-24,2001,1,Wednesday
20010125,2001-01-25,2001,1,Thursday
20010126,2001-01-26,2001,1,Friday
20010127,2001-01-27,2001,1,Saturday
20010128,2001-01-28,2001,1,Sunday
20010129,2001-01-29,2001,1,Monday
20010130,2001-01-30,2001,1,Tuesday
20010131,2001-01-31,2001,1,Wednesday
20010201,2001-02-01,2001,2,Thursday
20010202,2001-02-02,2001,2,Friday
20010203,2001-02-03,2001,2,Saturday
20010204,2001-02-04,2001,2,Sunday
20010205,2001-02-05,2001,2,Monday
20010206,2001-02-06,2001,2,Tuesday
20010207,2001-02-07,2001,2,Wednesday
20010208,2001-02-08,2001,2,Thursday
20010209,2001-02-09,2001,2,Friday
20010210,2001-02-10,2001,2,Saturday
20010211,2001-02-11,2001,2,Sunday
20010212,2001-02-12,2001,2,Monday
20010213,2001-02-13,2001,2,Tuesday
20010214,2001-02-14,2001,2,Wednesday
20010215,2001-02-15,2001,2,Thursday
20010216,2001-02-16,2001,2,Friday
20010217,2001-02-17,2001,2,Saturday
20010218,2001-02-18,2001,2,Sunday
20010219,2001-02-19,2001,2,Monday
20010220,2001-02-20,2001,2,Tuesday
20010221,2001-02-21,2001,2,Wednesday
20010222,2001-02-22,2001,2,Thursday
20010223,2001-02-23,2001,2,Friday
20010224,2001-02-24,2001,2,Saturday
20010225,2001-02-25,2001,2,Sunday
20010226,2001-02-26,2001,2,Monday
20010227,2001-02-27,2001,2,Tuesday
20010228,2001-02-28,2001,2,Wednesday
20010301,2001-03-01,2001,3,Thursday
20010302,2001-03-02,2001,3,Friday
20010303,2001-03-03,2001,3,Saturday
20010304,2001-03-04,2001,3,Sunday
20010305,2001-03-05,2001,3,Monday
20010306,2001-03-06,2001,3,Tuesday
20010307,2001-03-07,2001,3,Wednesday
20010308,2001-03-08,2001,3,Thursday
20010309,2001-03-09,2001,3,Friday
20010310,2001-03-10,2001,3,Saturday
20010311,2001-03-11,2001,3,Sunday
20010312,2001-03-12,2001,3,Monday
20010313,2001-03-13,2001,3,Tuesday
20010314,2001-03-14,2001,3,Wednesday
20010315,2001-03-15,2001,3,Thursday
20010316,2001-03-16,2001,3,Friday
20010317,2001-03-17,2001,3,Saturday
20010318,2001-03-18,2001,3,Sunday
20010319,2001-03-19,2001,3,Monday
20010320,2001-03-20,2001,3,Tuesday
20010321,2001-03-21,2001,3,Wednesday
20010322,2001-03-22,2001,3,Thursday
20010323,2001-03-23,2001,3,Friday
20010324,2001-03-24,2001,3,Saturday
20010325,2001-03-25,2001,3,Sunday
20010326,2001-03-26,2001,3,Monday
20010327,2001-03-27,2001,3,Tuesday
20010328,2001-03-28,2001,3,Wednesday
20010329,2001-03-29,2001,3,Thursday
20010330,2001-03-30,2001,3,Friday
20010331,2001-03-31,2001,3,Saturday
20010401,2001-04-01,2001,4,Sunday
20010402,2001-04-02,2001,4,Monday
20010403,2001-04-03,2001,4,Tuesday
20010404,2001-04-04,2001,4,Wednesday
20010405,2001-04-05,2001,4,Thursday
20010406,2001-04-06,2001,4,Friday
20010407,2001-04-07,2001,4,Saturday
20010408,2001-04-08,2001,4,Sunday
20010409,2001-04-09,2001,4,Monday
20010410,2001-04-10,2001,4,Tuesday
20010411,2001-04-11,2001,4,Wednesday
20010412,2001-04-12,2001,4,Thursday
20010413,2001-04-13,2001,4,Friday
20010414,2001-04-14,2001,4,Saturday
20010415,2001-04-15,2001,4,Sunday
20010416,2001-04-16,2001,4,Monday
20010417,2001-04-17,2001,4,Tuesday
20010418,2001-04-18,2001,4,Wednesday
20010419,2001-04-19,2001,4,Thursday
20010420,2001-04-20,2001,4,Friday
20010421,2001-04-21,2001,4,Saturday
20010422,2001-04-22,2001,4,Sunday
20010423,2001-04-23,2001,4,Monday
20010424,2001-04-24,2001,4,Tuesday
20010425,2001-04-25,2001,4,Wednesday
20010426,2001-04-26,2001,4,Thursday
20010427,2001-04-27,2001,4,Friday
20010428,2001-04-28,2001,4,Saturday
20010429,2001-04-29,2001,4,Sunday
20010430,2001-04-30,2001,4,Monday
20010501,2001-05-01,2001,5,Tuesday
20010502,2001-05-02,2001,5,Wednesday
20010503,2001-05-03,2001,5,Thursday
20010504,2001-05-04,2001,5,Friday
20010505,2001-05-05,2001,5,Saturday
20010506,2001-05-06,2001,5,Sunday
20010507,2001-05-07,2001,5,Monday
20010508,2001-05-08,2001,5,Tuesday
20010509,2001-05-09,2001,5,Wednesday
20010510,2001-05-10,2001,5,Thursday
20010511,2001-05-11,2001,5,Friday
20010512,2001-05-12,2001,5,Saturday
20010513,2001-05-13,2001,5,Sunday
20010514,2001-05-14,2001,5,Monday
20010515,2001-05-15,2001,5,Tuesday
20010516,2001-05-16,2001,5,Wednesday
20010517,2001-05-17,2001,5,Thursday
20010518,2001-05-18,2001,5,Friday
20010519,2001-05-19,2001,5,Saturday
20010520,2001-05-20,2001,5,Sunday
20010521,2001-05-21,2001,5,Monday
20010522,2001-05-22,2001,5,Tuesday
20010523,2001-05-23,2001,5,Wednesday
20010524,2001-05-24,2001,5,Thursday
20010525,2001-05-25,2001,5,Friday
20010526,2001-05-26,2001,5,Saturday
20010527,2001-05-27,2001,5,Sunday
20010528,2001-05-28,2001,5,Monday
20010529,2001-05-29,2001,5,Tuesday
20010530,2001-05-30,2001,5,Wednesday
20010531,2001-05-31,2001,5,Thursday
20010601,2001-06-01,2001,6,Friday
20010602,2001-06-02,2001,6,Saturday
20010603,2001-06-03,2001,6,Sunday
20010604,2001-06-04,2001,6,Monday
20010605,2001-06-05,2001,6,Tuesday
20010606,2001-06-06,2001,6,Wednesday
20010607,2001-06-07,2001,6,Thursday
20010608,2001-06-08,2001,6,Friday
20010609,2001-06-09,2001,6,Saturday
20010610,2001-06-10,2001,6,Sunday
20010611,2001-06-11,2001,6,Monday
20010612,2001-06-12,2001,6,Tuesday
20010613,2001-06-13,2001,6,Wednesday
20010614,2001-06-14,2001,6,Thursday
20010615,2001-06-15,2001,6,Friday
20010616,2001-06-16,2001,6,Saturday
20010617,2001-06-17,2001,6,Sunday
20010618,2001-06-18,2001,6,Monday
20010619,2001-06-19,2001,6,Tuesday
20010620,2001-06-20,2001,6,Wednesday
20010621,2001-06-21,2001,6,Thursday
